"Ilce";"Yerlesim";"HaritaStatu";"KayitSayisi";"SeoKonumIfadesi";"Dogrulama"
"Arguvan";"Kınık";"Mezra/hamlet adayı";"1";"Kınık Arguvan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arguvan";"Sedefuşağı";"Mezra/hamlet adayı";"1";"Sedefuşağı Arguvan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arguvan";"Uru";"Mezra/hamlet adayı";"1";"Uru Arguvan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Doğanşehir";"Çay";"Mezra/hamlet adayı";"1";"Çay Doğanşehir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Doğanşehir";"Sarıdanışma";"Mezra/hamlet adayı";"1";"Sarıdanışma Doğanşehir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Aliağalar";"Mezra/hamlet adayı";"1";"Aliağalar Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Bağyolu";"Mezra/hamlet adayı";"1";"Bağyolu Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Çeki";"Mezra/hamlet adayı";"1";"Çeki Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Çobanpınarı";"Mezra/hamlet adayı";"1";"Çobanpınarı Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Darıyeri";"Mezra/hamlet adayı";"1";"Darıyeri Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Karamukça";"Mezra/hamlet adayı";"1";"Karamukça Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Kaymak";"Mezra/hamlet adayı";"1";"Kaymak Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Kurbağalı";"Mezra/hamlet adayı";"1";"Kurbağalı Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Hekimhan";"Seydimehmet";"Mezra/hamlet adayı";"1";"Seydimehmet Hekimhan Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Pütürge";"Köklükaya";"Mezra/hamlet adayı";"1";"Köklükaya Pütürge Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
