MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
Taşdibek Mahallesi, Arapgir, Malatya
Ulaçlı Mahallesi, Arapgir, Malatya
Yaylacık Mahallesi, Arapgir, Malatya
Yazılı Mahallesi, Arapgir, Malatya
Yeni Mahallesi, Arapgir, Malatya
Yeşilyayla Mahallesi, Arapgir, Malatya
Yukarıçörenge Mahallesi, Arapgir, Malatya
Yukarıulupınar Mahallesi, Arapgir, Malatya
Yukarıyabanlı Mahallesi, Arapgir, Malatya
Yukarıyenice Mahallesi, Arapgir, Malatya
Zöhrap Mahallesi, Arapgir, Malatya

[Arguvan]
Akören Mahallesi, Arguvan, Malatya
Alhasuşağı Mahallesi, Arguvan, Malatya
Armutlu Mahallesi, Arguvan, Malatya
Asar Mahallesi, Arguvan, Malatya
Asmaca Mahallesi, Arguvan, Malatya
Aşağısürmenli Mahallesi, Arguvan, Malatya
Bahçeli Mahallesi, Arguvan, Malatya
Bahçelievler Mahallesi, Arguvan, Malatya
Bozan Mahallesi, Arguvan, Malatya
Çakmak Mahallesi, Arguvan, Malatya
Çavuş Mahallesi, Arguvan, Malatya
Çayırlı Mahallesi, Arguvan, Malatya
Çevreli Mahallesi, Arguvan, Malatya
Çiftlik Mahallesi, Arguvan, Malatya
Dolaylı Mahallesi, Arguvan, Malatya
Doydum Mahallesi, Arguvan, Malatya
Ermişli Mahallesi, Arguvan, Malatya
Eymir Mahallesi, Arguvan, Malatya
Göçeruşağı Mahallesi, Arguvan, Malatya
Gökağaç Mahallesi, Arguvan, Malatya
Gümüşlü Mahallesi, Arguvan, Malatya
Güngören Mahallesi, Arguvan, Malatya
Gürge Mahallesi, Arguvan, Malatya
Güveçli Mahallesi, Arguvan, Malatya
Hakverdi Mahallesi, Arguvan, Malatya
İçmece Mahallesi, Arguvan, Malatya
İsaköy Mahallesi, Arguvan, Malatya
Karababa Mahallesi, Arguvan, Malatya
Karahüyük Mahallesi, Arguvan, Malatya
Kızık Mahallesi, Arguvan, Malatya
Koçak Mahallesi, Arguvan, Malatya
Konakbaşı Mahallesi, Arguvan, Malatya
Kömürlük Mahallesi, Arguvan, Malatya
Kurutaş Mahallesi, Arguvan, Malatya
Kuyudere Mahallesi, Arguvan, Malatya
Morhamam Mahallesi, Arguvan, Malatya
Narmikan Mahallesi, Arguvan, Malatya
Parçikan Mahallesi, Arguvan, Malatya
Şotik Mahallesi, Arguvan, Malatya
Tarlacık Mahallesi, Arguvan, Malatya
Tatkınık Mahallesi, Arguvan, Malatya
Tepebağ Mahallesi, Arguvan, Malatya
Yamaç Mahallesi, Arguvan, Malatya
Yeni Mahallesi, Arguvan, Malatya
Yeniköy Mahallesi, Arguvan, Malatya
Yenisu Mahallesi, Arguvan, Malatya
Yoncalı Mahallesi, Arguvan, Malatya
Yukarısürmenli Mahallesi, Arguvan, Malatya
Yürekteşı Mahallesi, Arguvan, Malatya

